oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N6,93MOFSL34,SEC RE NCD 9.30% SR VII,1145,1120,1120,1120,1120,33600,30,N, ,4,1147,999.11
N,N6,956AEL29,SEC RE NCD 9.56% SR VI,1038,1038,1038,1022,1029.99,61824.82,60,N, ,7,1145,1000
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,1497.33,1497.33,1497.33,1493.25,1494.25,328882.45,220,N, ,6,1575,1250
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,999,997,997,990.25,992.51,237108.53,239,N, ,15,1200,956.47
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,1044,1043,1043,1014,1014,166590,160,N, ,2,1508,905
N,N7,774IREDA31,7.74% TAX FREE NCD,1096.25,1096.5,1096.6,1096.5,1096.5,779671.5,711,N, ,6,1171,1085
N,N7,805NMC35,NMC 8.05% 2035 SR STRPP G,124.55,124.55,124.55,124.55,124.55,2989.2,24,N, ,3,124.99,122
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,1067,1055,1055,1042,1052.95,845717.06,806,N, ,46,1182,1030
N,N7,97MOFSL34,SEC RE NCD 9.70% SR VIII,1142,1142.01,1142.01,1142,1142,85650.25,75,N, ,2,1180,1018
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,1083.1,1075,1082.99,1060,1079.9,76069.88,71,N, ,10,1165,1015
N,N7,NIDOZC26,SEC RED NCD SR. VII,2492.8,2475,2475,2475,2475,44550,18,N, ,3,2492.8,1920.21
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,1060.56,1062.7,1062.95,1062.7,1062.9,180686,170,N, ,5,1220,981.2
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,1094.49,1090.2,1090.2,1085,1086.38,3255351.83,2995,N, ,16,1175,1085
N,N8,805NMC36,NMC 8.05% 2036 SR STRPP H,124.65,124.65,124.65,124.65,124.65,2866.95,23,N, ,2,124.99,122
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,1014,1014,1014,1009,1009,193339.1,191,N, ,19,1107.5,986.7
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,1050.1,1050.2,1050.61,1046,1048.84,501886.05,478,N, ,26,1120,1012
N,N8,892PFCL33,8.92% TAX FREE NCD,1233.72,1230,1234,1227.1,1233.82,2028979.18,1649,N, ,21,1343,1219.99
